class_id,class_name,cost,hand_size,hands,discards,potential_dollars,potential_mult,potential_xmult,potential_chips,object_type,rank_index,suit_index,is_ace,is_face
0,ace_spades,1,,,,,,,11,card,0,0,1,0
1,2_spades,1,,,,,,,2,card,1,0,0,0
2,3_spades,1,,,,,,,3,card,2,0,0,0
3,4_spades,1,,,,,,,4,card,3,0,0,0
4,5_spades,1,,,,,,,5,card,4,0,0,0
5,6_spades,1,,,,,,,6,card,5,0,0,0
6,7_spades,1,,,,,,,7,card,6,0,0,0
7,8_spades,1,,,,,,,8,card,7,0,0,0
8,9_spades,1,,,,,,,9,card,8,0,0,0
9,10_spades,1,,,,,,,10,card,9,0,0,0
10,jack_spades,1,,,,,,,10,card,10,0,0,1
11,queen_spades,1,,,,,,,10,card,11,0,0,1
12,king_spades,1,,,,,,,10,card,12,0,0,1
13,ace_hearts,1,,,,,,,11,card,0,1,1,0
14,2_hearts,1,,,,,,,2,card,1,1,0,0
15,3_hearts,1,,,,,,,3,card,2,1,0,0
16,4_hearts,1,,,,,,,4,card,3,1,0,0
17,5_hearts,1,,,,,,,5,card,4,1,0,0
18,6_hearts,1,,,,,,,6,card,5,1,0,0
19,7_hearts,1,,,,,,,7,card,6,1,0,0
20,8_hearts,1,,,,,,,8,card,7,1,0,0
21,9_hearts,1,,,,,,,9,card,8,1,0,0
22,10_hearts,1,,,,,,,10,card,9,1,0,0
23,jack_hearts,1,,,,,,,10,card,10,1,0,1
24,queen_hearts,1,,,,,,,10,card,11,1,0,1
25,king_hearts,1,,,,,,,10,card,12,1,0,1
26,ace_diamonds,1,,,,,,,11,card,0,2,1,0
27,2_diamonds,1,,,,,,,2,card,1,2,0,0
28,3_diamonds,1,,,,,,,3,card,2,2,0,0
29,4_diamonds,1,,,,,,,4,card,3,2,0,0
30,5_diamonds,1,,,,,,,5,card,4,2,0,0
31,6_diamonds,1,,,,,,,6,card,5,2,0,0
32,7_diamonds,1,,,,,,,7,card,6,2,0,0
33,8_diamonds,1,,,,,,,8,card,7,2,0,0
34,9_diamonds,1,,,,,,,9,card,8,2,0,0
35,10_diamonds,1,,,,,,,10,card,9,2,0,0
36,jack_diamonds,1,,,,,,,10,card,10,2,0,1
37,queen_diamonds,1,,,,,,,10,card,11,2,0,1
38,king_diamonds,1,,,,,,,10,card,12,2,0,1
39,ace_clubs,1,,,,,,,11,card,0,3,1,0
40,2_clubs,1,,,,,,,2,card,1,3,0,0
41,3_clubs,1,,,,,,,3,card,2,3,0,0
42,4_clubs,1,,,,,,,4,card,3,3,0,0
43,5_clubs,1,,,,,,,5,card,4,3,0,0
44,6_clubs,1,,,,,,,6,card,5,3,0,0
45,7_clubs,1,,,,,,,7,card,6,3,0,0
46,8_clubs,1,,,,,,,8,card,7,3,0,0
47,9_clubs,1,,,,,,,9,card,8,3,0,0
48,10_clubs,1,,,,,,,10,card,9,3,0,0
49,jack_clubs,1,,,,,,,10,card,10,3,0,1
50,queen_clubs,1,,,,,,,10,card,11,3,0,1
51,king_clubs,1,,,,,,,10,card,12,3,0,1
52,b_abandoned,,,,,,,,,deck,,,,
53,b_anaglyph,,,,,,,,,deck,,,,
54,b_black,,,,,,,,,deck,,,,
55,b_blue,,,,,,,,,deck,,,,
56,b_challenge,,,,,,,,,deck,,,,
57,b_checkered,,,,,,,,,deck,,,,
58,b_erratic,,,,,,,,,deck,,,,
59,b_ghost,,,,,,,,,deck,,,,
60,b_green,,,,,,,,,deck,,,,
61,b_magic,,,,,,,,,deck,,,,
62,b_nebula,,,,,,,,,deck,,,,
63,b_painted,,,,,,,,,deck,,,,
64,b_plasma,,,,,,,,,deck,,,,
65,b_red,,,,,,,,,deck,,,,
66,b_yellow,,,,,,,,,deck,,,,
67,b_zodiac,,,,,,,,,deck,,,,
68,e_foil,2,,,,,,,50,edition,,,,
69,e_holo,3,,,,,10,,,edition,,,,
70,e_negative,5,,,,,,,,edition,,,,
71,e_polychrome,5,,,,,,1.5,,edition,,,,
72,m_bonus,,,,,,,,30,enhancement,,,,
73,m_glass,,,,,,,2.0,,enhancement,,,,
74,m_gold,,,,,3,,,,enhancement,,,,
75,m_lucky,,,,,,,,,enhancement,,,,
76,m_mult,,,,,,4,,,enhancement,,,,
77,m_steel,,,,,,,1.5,,enhancement,,,,
78,m_stone,,,,,,,,50,enhancement,,,,
79,m_wild,,,,,,,,,enhancement,,,,
80,j_8_ball,5,,,,,,,,joker,,,,
81,j_abstract,4,,,,,3,,,joker,,,,
82,j_acrobat,6,,,,,,3,,joker,,,,
83,j_ancient,8,,,,,,1.5,,joker,,,,
84,j_arrowhead,7,,,,,,,50,joker,,,,
85,j_astronomer,8,,,,,,,,joker,,,,
86,j_banner,5,,,,,,,30,joker,,,,
87,j_baron,8,,,,,,1.5,,joker,,,,
88,j_baseball,8,,,,,,1.5,,joker,,,,
89,j_blackboard,6,,,,,,3,,joker,,,,
90,j_bloodstone,7,,,,,,1.5,,joker,,,,
91,j_blue_joker,5,,,,,,,2,joker,,,,
92,j_blueprint,10,,,,,,,,joker,,,,
93,j_bootstraps,7,,,,,2,,,joker,,,,
94,j_brainstorm,10,,,,,,,,joker,,,,
95,j_bull,6,,,,,,,2,joker,,,,
96,j_burglar,6,,3,,,,,,joker,,,,
97,j_burnt,8,,,,,,,,joker,,,,
98,j_business,4,,,,2,,,,joker,,,,
99,j_caino,20,,,,,,1,,joker,,,,
100,j_campfire,9,,,,,,0.25,,joker,,,,
101,j_card_sharp,6,,,,,,3,,joker,,,,
102,j_cartomancer,6,,,,,,,,joker,,,,
103,j_castle,6,,,,,,,3,joker,,,,
104,j_cavendish,4,,,,,,3,,joker,,,,
105,j_ceremonial,6,,,,,0,,,joker,,,,
106,j_certificate,6,,,,,,,,joker,,,,
107,j_chaos,4,,,,,,,,joker,,,,
108,j_chicot,20,,,,,,,,joker,,,,
109,j_clever,4,,,,,,,80,joker,,,,
110,j_cloud_9,7,,,,1,,,,joker,,,,
111,j_constellation,6,,,,,,1,,joker,,,,
112,j_crafty,4,,,,,,,80,joker,,,,
113,j_crazy,4,,,,,12,,,joker,,,,
114,j_credit_card,1,,,,,,,,joker,,,,
115,j_delayed_grat,4,,,,2,,,,joker,,,,
116,j_devious,4,,,,,,,100,joker,,,,
117,j_diet_cola,6,,,,,,,,joker,,,,
118,j_dna,8,,,,,,,,joker,,,,
119,j_drivers_license,7,,,,,,3,,joker,,,,
120,j_droll,4,,,,,10,,,joker,,,,
121,j_drunkard,4,,,1,,,,,joker,,,,
122,j_duo,8,,,,,,2,,joker,,,,
123,j_dusk,5,,,,,,,,joker,,,,
124,j_egg,4,,,,3,,,,joker,,,,
125,j_erosion,6,,,,,4,,,joker,,,,
126,j_even_steven,4,,,,,4,,,joker,,,,
127,j_faceless,4,,,,5,,,,joker,,,,
128,j_family,8,,,,,,4,,joker,,,,
129,j_fibonacci,8,,,,,8,,,joker,,,,
130,j_flash,5,,,,,2,,,joker,,,,
131,j_flower_pot,6,,,,,,3,,joker,,,,
132,j_fortune_teller,6,,,,,1,,,joker,,,,
133,j_four_fingers,7,,,,,,,,joker,,,,
134,j_gift,6,,,,1,,,,joker,,,,
135,j_glass,6,,,,,,1,,joker,,,,
136,j_gluttenous_joker,5,,,,,3,,,joker,,,,
137,j_golden,6,,,,4,,,,joker,,,,
138,j_greedy_joker,5,,,,,3,,,joker,,,,
139,j_green_joker,4,,,,,1,,,joker,,,,
140,j_gros_michel,5,,,,,15,,,joker,,,,
141,j_hack,6,,,,,,,,joker,,,,
142,j_half,5,,,,,20,,,joker,,,,
143,j_hallucination,4,,,,,,,,joker,,,,
144,j_hanging_chad,4,,,,,,,,joker,,,,
145,j_hiker,5,,,,,,,5,joker,,,,
146,j_hit_the_road,8,,,,,,0.5,,joker,,,,
147,j_hologram,7,,,,,,1,,joker,,,,
148,j_ice_cream,5,,,,,,,100,joker,,,,
149,j_idol,6,,,,,,2,,joker,,,,
150,j_invisible,8,,,,,,,,joker,,,,
151,j_joker,2,,,,,4,,,joker,,,,
152,j_jolly,3,,,,,8,,,joker,,,,
153,j_juggler,4,1,,,,,,,joker,,,,
154,j_loyalty_card,5,,,,,,4,,joker,,,,
155,j_luchador,5,,,,,,,,joker,,,,
156,j_lucky_cat,6,,,,,,1,,joker,,,,
157,j_lusty_joker,5,,,,,3,,,joker,,,,
158,j_mad,4,,,,,10,,,joker,,,,
159,j_madness,7,,,,,,0.5,,joker,,,,
160,j_mail,4,,,,5,,,,joker,,,,
161,j_marble,6,,,,,,,,joker,,,,
162,j_matador,7,,,,8,,,,joker,,,,
163,j_merry_andy,7,-1,,3,,,,,joker,,,,
164,j_midas_mask,7,,,,,,,,joker,,,,
165,j_mime,5,,,,,,,,joker,,,,
166,j_misprint,4,,,,,23,,,joker,,,,
167,j_mr_bones,5,,,,,,,,joker,,,,
168,j_mystic_summit,5,,,,,15,,,joker,,,,
169,j_obelisk,8,,,,,,1,,joker,,,,
170,j_odd_todd,4,,,,,,,31,joker,,,,
171,j_onyx_agate,7,,,,,7,,,joker,,,,
172,j_oops,4,,,,,,,,joker,,,,
173,j_order,8,,,,,,3,,joker,,,,
174,j_pareidolia,5,,,,,,,,joker,,,,
175,j_perkeo,20,,,,,,,,joker,,,,
176,j_photograph,5,,,,,,2,,joker,,,,
177,j_popcorn,5,,,,,20,,,joker,,,,
178,j_raised_fist,5,,,,,,,,joker,,,,
179,j_ramen,6,,,,,,2,,joker,,,,
180,j_red_card,5,,,,,3,,,joker,,,,
181,j_reserved_parking,6,,,,1,,,,joker,,,,
182,j_ride_the_bus,6,,,,,1,,,joker,,,,
183,j_riff_raff,6,,,,,,,,joker,,,,
184,j_ring_master,5,,,,,,,,joker,,,,
185,j_rocket,6,,,,1,,,,joker,,,,
186,j_rough_gem,7,,,,1,,,,joker,,,,
187,j_runner,5,,,,,,,15,joker,,,,
188,j_satellite,6,,,,1,,,,joker,,,,
189,j_scary_face,4,,,,,,,30,joker,,,,
190,j_scholar,4,,,,,4,,20,joker,,,,
191,j_seance,6,,,,,,,,joker,,,,
192,j_seeing_double,6,,,,,,2,,joker,,,,
193,j_selzer,6,,,,,,,,joker,,,,
194,j_shoot_the_moon,5,,,,,13,,,joker,,,,
195,j_shortcut,7,,,,,,,,joker,,,,
196,j_sixth_sense,6,,,,,,,,joker,,,,
197,j_sly,3,,,,,,,50,joker,,,,
198,j_smeared,7,,,,,,,,joker,,,,
199,j_smiley,4,,,,,5,,,joker,,,,
200,j_sock_and_buskin,6,,,,,,,,joker,,,,
201,j_space,5,,,,,,,,joker,,,,
202,j_splash,3,,,,,,,,joker,,,,
203,j_square,4,,,,,,,4,joker,,,,
204,j_steel_joker,7,,,,,,0.2,,joker,,,,
205,j_stencil,8,,,,,,,,joker,,,,
206,j_stone,6,,,,,,,25,joker,,,,
207,j_stuntman,7,-2,,,,,,250,joker,,,,
208,j_supernova,5,,,,,1,,,joker,,,,
209,j_superposition,4,,,,,,,,joker,,,,
210,j_swashbuckler,4,,,,,1,,,joker,,,,
211,j_throwback,6,,,,,,0.25,,joker,,,,
212,j_ticket,5,,,,4,,,,joker,,,,
213,j_to_the_moon,5,,,,,,,,joker,,,,
214,j_todo_list,4,,,,4,,,,joker,,,,
215,j_trading,6,,,,3,,,,joker,,,,
216,j_tribe,8,,,,,,2,,joker,,,,
217,j_triboulet,20,,,,,,2,,joker,,,,
218,j_trio,8,,,,,,3,,joker,,,,
219,j_troubadour,6,2,-1,,,,,,joker,,,,
220,j_trousers,6,,,,,2,,,joker,,,,
221,j_turtle_bean,6,5,,,,,,,joker,,,,
222,j_vagabond,8,,,,,,,,joker,,,,
223,j_vampire,7,,,,,,1,,joker,,,,
224,j_walkie_talkie,4,,,,,4,,10,joker,,,,
225,j_wee,8,,,,,,,8,joker,,,,
226,j_wily,4,,,,,,,100,joker,,,,
227,j_wrathful_joker,5,,,,,3,,,joker,,,,
228,j_yorick,20,,,,,,1,,joker,,,,
229,j_zany,4,,,,,12,,,joker,,,,
230,debuffed,,,,,,,,,,,,,
231,facedown,,,,,,,,,card,,,,
232,blue_seal,,,,,,,,,seal,,,,
233,gold_seal,,,,,3,,,,seal,,,,
234,purple_seal,,,,,,,,,seal,,,,
235,red_seal,,,,,,,,,seal,,,,
236,c_ceres,3,,,,,,,,planet,,,,
237,c_earth,3,,,,,,,,planet,,,,
238,c_eris,3,,,,,,,,planet,,,,
239,c_jupiter,3,,,,,,,,planet,,,,
240,c_mars,3,,,,,,,,planet,,,,
241,c_mercury,3,,,,,,,,planet,,,,
242,c_neptune,3,,,,,,,,planet,,,,
243,c_planet_x,3,,,,,,,,planet,,,,
244,c_pluto,3,,,,,,,,planet,,,,
245,c_saturn,3,,,,,,,,planet,,,,
246,c_uranus,3,,,,,,,,planet,,,,
247,c_venus,3,,,,,,,,planet,,,,
248,c_ankh,4,,,,,,,,spectral,,,,
249,c_aura,4,,,,,,,,spectral,,,,
250,c_black_hole,4,,,,,,,,spectral,,,,
251,c_cryptid,4,,,,,,,,spectral,,,,
252,c_deja_vu,4,,,,,,,,spectral,,,,
253,c_ectoplasm,4,,,,,,,,spectral,,,,
254,c_familiar,4,,,,,,,,spectral,,,,
255,c_grim,4,,,,,,,,spectral,,,,
256,c_hex,4,,,,,,,,spectral,,,,
257,c_immolate,4,,,,,,,,spectral,,,,
258,c_incantation,4,,,,,,,,spectral,,,,
